"HEAD","WDEPTH","MANHOLE_FLOW","Points:0","Points:1","Points:2"
77.41007599217,0.0003081561704619,0,564663.8433,5777906.2802,77.409767836
78.05568874949,0.1120678634852,0,564665.1644,5777985.8484,77.943620886
83.72026644152,0.0001500145228732,0,564704.591,5777997.556,83.720116427
83.95213283736,0.0002358823573445,0,564712.085,5777985.685,83.951896955
84.76686371082,0.0001548128213642,0,564742.88,5777995.212,84.766708898
84.67308734449,0.0002501594942856,0,564738.076,5778011.314,84.672837185
84.73691317182,0.04135829982135,0,564720.812,5778006.205,84.695554872
84.94553899645,0.0002155314522128,0,564713.0932,5778031.059,84.945323465
84.79401218637,0.0001403813740239,0,564731.739,5778035.323,84.793871805
85.35618039675,0.0005075857482808,0,564724.245,5778062.246,85.355672811
85.69642896755,0.0002163685544474,0,564710.4845,5778058.586,85.696212599
85.94639127167,0.002038479667362,0,564706.374,5778072.938,85.944352792
85.88846444767,0.03827563366939,0,564695.583,5778069.846,85.850188814
85.49736079861,0.0004431096086392,0,564700.135,5778053.957,85.496917689
85.55139383624,0.0001544552424235,0,564713.6497,5778057.8498,85.551239381
85.37279693022,0.0001678212205434,0,564717.889,5778042.472,85.372629109
84.87546478577,0.9433337217687,0,564689.4345,5778033.4336,83.932131064
85.38463079719,0.0007048201935476,0,564686.789,5778042.837,85.383925977
85.3886385629,0.1946244389012,0,564684.084,5778042.1,85.194014124
86.45932240388,0.0001076708753089,0,564673.783,5778089.6318,86.459214733
85.8336069224,0.0003596943971615,0,564687.533,5778090.588,85.833247228
85.79855572243,0.17292548843,0,564687.265,5778095.914,85.625630234
86.01877347824,8.746524419223e-005,0,564721.156,5778106.956,86.018686013
85.2268010087,0.0001510987033555,0,564762.243,5778115.952,85.22664991
84.80787592043,0.0001271904310727,0,564775.271,5778113.635,84.80774873
84.47223060434,0.001727492336585,0,564789.223,5778119.097,84.470503112
84.81176542056,0.005804565558492,0,564784.0902,5778130.226,84.805960855
84.86236506023,0.01502119523201,0,564775.897,5778126.91,84.847343865
84.86533206242,0.05091900042422,0,564777.733,5778122.895,84.814413062
85.18496658988,0.001795963883225,0,564762.3525,5778123.9042,85.183170626
85.71066294275,0.0003686057474823,0,564751.124,5778121.886,85.710294337
86.09693932711,0.0001085331101933,0,564748.112,5778132.414,86.096830794
85.88653728186,0.0006742048605162,0,564752.7654,5778133.8756,85.885863077
86.04643212144,0.001478845439209,0,564750.86,5778140.4604,86.044953276
86.56135149029,0.0003393862866403,0,564740.349,5778136.885,86.561012104
86.01692664957,0.1251764665651,0,564745.17,5778121.065,85.891750183
86.01692180944,0.1481166404448,0,564731.554,5778118.582,85.868805169
86.01681618574,0.01702901474026,0,564717.135,5778114.673,85.999787171
87.58273910763,0.0001391176308232,0,564702.616,5778142.858,87.58259999
87.76276332198,0.0001201389848262,0,564696.188,5778139.364,87.762643183
86.97721944768,0.4112349326847,0,564708.251,5778116.615,86.565984515
87.47799171994,0.0002644809370196,0,564678.134,5778107.047,87.477727239
86.96982386087,0.4158292548685,0,564681.824,5778096.287,86.553994606
86.14776262714,0.0001718241428819,0,564663.815,5778095.685,86.147590803
84.69144340391,0.0002127009052089,0,564664.084,5778090.126,84.691230703
83.6664227345,0.3313550954984,0,564648.752,5778088.494,83.335067639
83.70558715574,0.0007924397420993,0,564642.383,5778156.164,83.704794716
84.80423373379,0.000247189794635,0,564664.736,5778168.672,84.803986544
85.33794379841,0.05060179041092,0,564658.3424,5778180.6371,85.287342008
85.44798682763,0.000145316632981,0,564660.5936,5778182.7605,85.447841511
84.92559297508,0.005066761079192,0,564746.683,5778210.468,84.920526214
84.78654835642,0.0001491914243559,0,564748.202,5778205.704,84.786399165
84.60904762391,0.0001171739080235,0,564762.863,5778208.488,84.60893045
84.80055772611,6.754111106488e-005,0,564760.707,5778214.959,84.800490185
84.67396537185,0.0001122808534575,0,564777.2711,5778219.8796,84.673853091
84.72111255011,0.001677037110085,0,564781.7611,5778214.1758,84.719435513
84.90109485152,0.009242042521336,0,564794.4576,5778218.4635,84.891852809
85.19943160367,8.843066625275e-005,0,564783.6667,5778255.272,85.199343173
85.0226705499,0.001349912899457,0,564813.5245,5778255.7978,85.021320637
83.07304556538,0.003545166383915,0,564817.9047,5778217.1874,83.069500399
82.12502768428,0.0002792382815358,0,564845.565,5778219.326,82.124748446
82.49781035371,0.0003122257114541,0,564836.162,5778303.232,82.497498128
83.47181121366,0.0001214836593562,0,564814.1687,5778302.1119,83.47168973
83.46902557208,7.916607589209e-005,0,564813.0734,5778326.5833,83.468946406
84.25019098773,0.0001056177287069,0,564959.9011,5778337.3545,84.25008537
84.22303736818,0.0004204481832772,0,564957.56,5778307.838,84.22261692
86.44195551508,0.0001335010780963,0,564998.6645,5778305.4842,86.441822014
86.9836762256,0.0001143296016863,0,565005.197,5778300.649,86.983561896
87.5365033583,0.0003811542995464,0,565015.559,5778300.105,87.536122204
88.24578045511,0.0001048041085596,0,565030.658,5778308.896,88.245675651
88.49538011605,7.880905040736e-005,0,565036.109,5778307.82,88.495301307
88.65469011912,0.0004409241200136,0,565030.062,5778275.867,88.654249195
89.5469439303,0.0001590663007818,0,565053.099,5778274.283,89.546784864
89.32657252699,0.09258518499061,0,565050.1867,5778313.7833,89.233987342
89.3265560626,0.02665528360109,0,565064.0901,5778319.6277,89.299900779
89.96083538423,0.0001129102328719,0,565073.187,5778261.392,89.960722474
90.43313802494,0.0001596259444057,0,565112.779,5778259.275,90.432978399
91.06850383973,0.0001400647261818,0,565113.4605,5778296.2664,91.068363775
