"HEAD","WDEPTH","MANHOLE_FLOW","Points:0","Points:1","Points:2"
77.41035969879,0.0005918627861945,0,564663.8433,5777906.2802,77.409767836
78.01772154783,0.07410066182602,0,564665.1644,5777985.8484,77.943620886
83.72040221847,0.000285791474937,0,564704.591,5777997.556,83.720116427
83.95234128057,0.0004443255680826,0,564712.085,5777985.685,83.951896955
84.76700333682,0.0002944388229622,0,564742.88,5777995.212,84.766708898
84.67331019044,0.0004730054431832,0,564738.076,5778011.314,84.672837185
84.73082938505,0.03527451304542,0,564720.812,5778006.205,84.695554872
84.94572873776,0.0004052727602613,0,564713.0932,5778031.059,84.945323465
84.79414268212,0.0002708771203714,0,564731.739,5778035.323,84.793871805
85.35661009827,0.0009372872709292,0,564724.245,5778062.246,85.355672811
85.69661999511,0.0004073961067235,0,564710.4845,5778058.586,85.696212599
85.94841805456,0.004065262560147,0,564706.374,5778072.938,85.944352792
85.8953013949,0.04511258089553,0,564695.583,5778069.846,85.850188814
85.49777278414,0.0008550951377941,0,564700.135,5778053.957,85.496917689
85.55153218171,0.0002928007101133,0,564713.6497,5778057.8498,85.551239381
85.37294731723,0.0003182082329971,0,564717.889,5778042.472,85.372629109
84.8149460796,0.8828150155971,0,564689.4345,5778033.4336,83.932131064
85.38519017729,0.001264200290734,0,564686.789,5778042.837,85.383925977
85.39088163337,0.1968675093737,0,564684.084,5778042.1,85.194014124
86.45942017793,0.0002054449276159,0,564673.783,5778089.6318,86.459214733
85.83384095996,0.0005937319625531,0,564687.533,5778090.588,85.833247228
85.7746208528,0.1489906187987,0,564687.265,5778095.914,85.625630234
86.01885328035,0.0001672673517561,0,564721.156,5778106.956,86.018686013
85.22693656779,0.0002866577878962,0,564762.243,5778115.952,85.22664991
84.80799197312,0.0002432431195132,0,564775.271,5778113.635,84.80774873
84.47368935819,0.003186246193437,0,564789.223,5778119.097,84.470503112
84.81657683787,0.01061598287036,0,564784.0902,5778130.226,84.805960855
84.87210007229,0.02475620728819,0,564775.897,5778126.91,84.847343865
84.87567428868,0.06126122668158,0,564777.733,5778122.895,84.814413062
85.18651399867,0.003343372671509,0,564762.3525,5778123.9042,85.183170626
85.71098367855,0.0006893415482097,0,564751.124,5778121.886,85.710294337
86.09703787263,0.0002070786251096,0,564748.112,5778132.414,86.096830794
85.88708616952,0.001223092520661,0,564752.7654,5778133.8756,85.885863077
86.04760135552,0.002648079518949,0,564750.86,5778140.4604,86.044953276
86.56160756624,0.0005954622417192,0,564740.349,5778136.885,86.561012104
86.00071223683,0.1089620538269,0,564745.17,5778121.065,85.891750183
85.99492938899,0.1261242199923,0,564731.554,5778118.582,85.868805169
86.01250810585,0.0127209348524,0,564717.135,5778114.673,85.999787171
87.58286386334,0.0002638733399607,0,564702.616,5778142.858,87.58259999
87.76287217179,0.0002289887867164,0,564696.188,5778139.364,87.762643183
86.93821874525,0.3722342302537,0,564708.251,5778116.615,86.565984515
87.47822544862,0.0004982096188684,0,564678.134,5778107.047,87.477727239
86.92552340533,0.3715287993326,0,564681.824,5778096.287,86.553994606
86.1479182815,0.0003274784974536,0,564663.815,5778095.685,86.147590803
84.69163564287,0.0004049398706485,0,564664.084,5778090.126,84.691230703
83.62266126151,0.2875936225096,0,564648.752,5778088.494,83.335067639
83.7058471891,0.001052473104593,0,564642.383,5778156.164,83.704794716
84.80444468223,0.000458138229547,0,564664.736,5778168.672,84.803986544
85.33061972403,0.04327771602854,0,564658.3424,5778180.6371,85.287342008
85.44811238372,0.0002708727153333,0,564660.5936,5778182.7605,85.447841511
84.92599716428,0.005470950280525,0,564746.683,5778210.468,84.920526214
84.78680668446,0.0004075194628399,0,564748.202,5778205.704,84.786399165
84.60915370912,0.0002232591242404,0,564762.863,5778208.488,84.60893045
84.80061950846,0.0001293234598307,0,564760.707,5778214.959,84.800490185
